141,132,호산나 호산나,종려주일
142,,시온에 오시는 주,종려주일
143,141,웬 말인가 날 위하여,고난
144,144,예수 나를 위하여,고난
145,145,오 거룩하신 주님,고난
146,146,저 멀리 푸른 언덕에,고난
147,136,거기 너 있었는가,고난
148,142,영화로신 주 예수의,고난
149,147,주 달려 죽은 십자가,고난
150,135,갈보리산 위에,고난
151,138,만왕의 왕 내 주께서,고난
152,,귀하신 예수,고난
153,,가시 면류관,고난
154,139,생명의 주여 면류관,고난
155,,십자가 지고,고난
156,,머리에 가시관 붉은 피 흐르는,고난
157,,겟세마네 동산에서 최후 기도,고난
158,,서쪽 하늘 붉은 노을,고난
159,149,기뻐 찬송하세,부활
160,150,무덤에 머물러,부활
161,159,할렐루야 우리 예수,부활
162,151,부활하신 구세주,부활
163,160,할렐루야 할렐루야,부활
164,154,예수 부활했으니,부활
165,155,주님께 영광,부활
166,156,싸움은 모두 끝나고,부활
167,157,즐겁도다 이 날,부활
168,158,하늘에 찬송이 들리던 그날,부활
169,,사망의 권세가,부활
170,16,내 주님은 살아계시고,부활
171,,하나님의 독생자,부활
172,152,사망을 이긴 주,부활
173,,다함께 찬송 부르자,부활
174,161,대속하신 구주께서,재림
175,162,신랑 되신 예수께서,재림
176,163,주 어느 때 다시 오실는지,재림
177,164,오랫동안 고대하던,재림
178,,주 예수 믿는 자여,재림
179,167,주 예수의 강림이,재림
180,168,하나님의 나팔소리,재림
181,,부활 승천하신 주께서,재림
182,169,강물같이 흐르는 기쁨,성령강림
183,172,빈 들에 마른 풀같이,성령강림
184,173,불길 같은 주 성령,성령강림
185,179,이 기쁜 소식을,성령강림
186,176,영화로신 주 성령,성령강림
187,171,비둘기 같이 온유한,성령강림
188,180,무한하신 주 성령,성령강림
189,181,진실하신 주 성령,성령강림
190,177,성령이여 강림하사,성령강림
191,427,내가 매일 기쁘게,성령강림
192,,임하소서 임하소서,성령강림
193,,성령의 바람 불어오니,성령강림
194,,저 하늘 거룩하신 주여,성령강림
195,175,성령이여 우리 찬송 부를 때,성령강림
196,174,성령의 은사를,은사
197,178,은혜가 풍성한 하나님은,은사
198,284,주 예수 해변서,성경
199,234,나의 사랑하는 책,성경
200,235,달고 오묘한 그 말씀,성경
201,240,참 사람되신 말씀,성경
202,241,하나님 아버지 주신 책은,성경
203,,하나님의 말씀은,성경
204,379,주의 말씀 듣고서,성경
205,236,주 예수 크신 사랑,성경
206,,주님의 귀한 말씀은,성경
207,243,귀하신 주님 계신 곳,하나님나라
208,246,내 주의 나라와,하나님나라
209,247,이 세상 풍파 심하고,하나님나라
210,245,시온성과 같은 교회,하나님나라
211,346,값비싼 향유를 주께 드린,헌신과봉사
212,347,겸손히 주를 섬길 때,헌신과봉사
213,348,나의 생명 드리니,헌신과봉사
214,349,나 주의 도움 받고자,헌신과봉사
215,354,내 죄 속해 주신 주꼐,헌신과봉사
216,356,성자의 귀한 몸,헌신과봉사
217,362,하나님이 말씀하시기를,헌신과봉사
218,369,네 맘과 정성을 다하여서,헌신과봉사
219,279,주 하나님의 사랑은,성도의교제
220,278,사랑하는 주님 앞에,성도의교제
221,525,주 믿는 형제들,성도의교제
222,524,우리 다시 만날 때까지,성도의교제
223,,하나님은 우리들의,성도의교제
224,,정한 물로 우리 죄를,침례
225,298,실로암 샘물가에 핀,침례
226,,성령으로 침례 받아,침례
227,283,주 앞에 성찬 받기 위하여,성찬
228,285,오 나의 주님 친히 뵈오니,성찬
229,281,아무 흠도 없고,성찬
230,,우리의 참된 구주시니,성찬
231,,우리 다같이 무릎 꿇고서,성찬
232,282,유월절 때가 이르러,성찬
233,,자비로 그 몸 찢기시고,성찬
234,220,구주 예수 그리스도,천국
235,222,보아라 즐거운 우리 집,천국
236,223,우리 모든 수고 끝나,천국
237,226,저 건너편 강 언덕에,천국
238,,해 지는 저편,천국
239,230,저 뵈는 본향집,천국
240,231,주가 맡긴 모든 역사,천국
241,232,아름다운 본향,천국
242,233,황무지가 장미꽃같이,천국
243,224,저 요단강 건너편에,천국
244,,구원 받은 천국의 성도들,천국
245,228,저 좋은 낙원 이르니,천국
246,221,나 가나안 땅 귀한 성에,천국
247,,보아라 저 하늘에,천국
248,,언약의 주 하나님,천국
249,249,주 사랑하는 자 다 찬송할 때에,천국
250,182,구주의 십자가 보혈로,회개와용서
251,137,놀랍다 주님의 큰 은혜,회개와용서
252,184,나의 죄를 씻기는,회개와용서
253,,그 자비하신 주님,회개와용서
254,186,내 주의 보혈은,회개와용서
255,187,너희 죄 흉악하나,회개와용서
256,,나의 죄 지신 주님,회개와용서
257,189,마음에 가득한 의심을 깨치고,회개와용서
258,190,샘물과 같은 보혈은,회개와용서
259,193,예수 십자가에 흘린 피로써,회개와용서
260,194,우리를 죄에서 구하시려,회개와용서
261,195,이 세상의 모든 죄를,회개와용서
262,196,날 구원하신 예수를,회개와용서
263,197,이 세상 험하고,회개와용서
264,198,정결하게 하는 샘이,회개와용서
265,199,주 십자가를 지심으로,회개와용서
266,200,주의 피로 이룬 샘물,회개와용서
267,201,주의 확실한 약속의 말씀 듣고,회개와용서
268,202,죄에서 자유를 얻게 함은,회개와용서
269,211,그 참혹한 십자가에,회개와용서
270,214,변찮는 주님의 사랑과,회개와용서
271,,나와 같은 죄인 위해,회개와용서
272,330,고통의 멍에 벗으려고,회개와용서
274,332,나 행한 것 죄 뿐이니,회개와용서
275,333,날마다 주와 버성겨,회개와용서
276,334,아버지여 이 죄인을,회개와용서
277,335,양떼를 떠나서,회개와용서
278,336,여러 해 동안 주 떠나,회개와용서
279,337,인애하신 구세주여,회개와용서
280,338,천부여 의지 없어서,회개와용서
281,,요나처럼 순종 않고,회개와용서
282,339,큰 죄에 빠진 날 위해,회개와사죄
283,183,나 속죄함을 받은 후,거듭남
284,206,오랫동안 모든 죄 가운데 빠져,거듭남
285,209,주의 말씀 받은 그날,거듭남
286,218,주 예수님 내 맘에 오사,거룩한생활
287,205,예수 앞에 나오면,거룩한생활
288,204,예수로 나의 구주 삼고,거룩한생활
289,208,주 예수 내 맘에 들어와,거룩한생활
290,412,우리는 주님을 늘 배반하나,은혜와사랑
291,413,외롭게 사는 이 그 누군가,은혜와사랑
292,415,주 없이 살 수 없네,은혜와사랑
293,414,주의 사랑 비췰 때에,은혜와사랑
294,416,하나님의 외아들은,은혜와사랑
295,417,큰 죄에 빠진 나를,은혜와사랑
296,,죄인 구원 하시려고,은혜와사랑
297,191,양 아흔 아홉 마리는,은혜와사랑
298,35,속죄하신 구세주를,은혜와사랑
299,418,하나님 사랑은,은혜와사랑
300,406,내 맘이 낙심되며,은혜와사랑
301,460,지금까지 지내 온 것,은혜와사랑
302,408,내 주 하나님 넓고 큰 은혜는,은혜와사랑
303,403,날 위하여 십자가의,은혜와사랑
304,404,그 크신 하나님의 사랑,은혜와사랑
305,405,나 같은 죄인 살리신,은혜와사랑
306,,죽을 죄인 살려 주신,은혜와사랑
307,,소리 없이 보슬보슬,은혜와사랑
308,,내 평생 살아온 길,은혜와사랑
309,409,목마른 내 영혼,은혜와사랑
310,410,아 하나님의 은혜로,은혜와사랑
311,185,내 너를 위하여,소명과충성
312,341,너 하나님께 이끌리어,소명과충성
313,352,내 임금 예수 내 주여,소명과충성
314,511,내 구주 예수를 더욱 사랑,소명과충성
315,512,내 주 되신 주를 참 사랑하고,소명과충성
316,,주여 나의 생명,소명과충성
317,353,내 주 예수 주신 은혜,소명과충성
318,,순교자의 흘린 피가,소명과충성
319,,말씀으로 이 세상을,소명과충성
320,350,나의 죄를 정케 하사,소명과충성
321,351,날 대속하신 예수께,소명과충성
322,357,세상의 헛된 신을 버리고,소명과충성
323,355,부름 받아 나선 이 몸,소명과충성
324,360,예수 나를 오라 하네,소명과충성
325,359,예수가 함께 계시니,소명과충성
326,368,내 죄를 회개하고,소명과충성
327,361,주님 주실 화평,소명과충성
328,374,너 주의 사람아,소명과충성
329,267,주 날 불러 이르소서,소명과충성
330,370,어둔 밤 쉬 되리니,소명과충성
331,331,나 주를 멀리 떠났다,회개와사죄
331,375,영광을 받으신 만유의 주여,소명과충성
332,,우리는 부지런한,소명과충성
333,381,충성하라 죽도록,소명과충성
334,,위대하신 주를,소명과충성
335,,크고 놀라운 평화가,소명과충성
336,383,환난과 핍박 중에도,시련과극복
337,363,내 모든 시험 무거운 짐을,시련과극복
338,364,내 주를 가까이 하게 함은,시련과극복
339,365,내 주님 지신 십자가,시련과극복
340,366,어지러운 세상 중에,시련과극복
341,367,십자가를 내가 지고,시련과극복
342,395,너 시험을 당해,시련과극복
343,443,시험 받을 때에,시련과극복
344,,믿음으로 가리라,시련과극복
345,461,캄캄한 밤 사나운 바람 불 때,시련과극복
346,398,주 예수 우리 구하려,분투와승리
347,382,허락하신 새 땅에,분투와승리
348,388,마귀들과 싸울지라,분투와승리
349,387,나는 예수 따라가는,분투와승리
350,393,우리들의 싸울 것은,분투와승리
351,389,믿는 사람들은 주의 군사니,분투와승리
352,390,십자가 군병들아,분투와승리
353,391,십자가 군병 되어서,분투와승리
354,394,주를 앙모하는 자,분투와승리
355,386,다같이 일어나,분투와승리
356,396,주 예수 이름 소리 높여,분투와승리
357,397,주 믿는 사람 일어나,분투와승리
358,400,주의 진리 위해 십자가 군기,분투와승리
359,401,천성을 향해 가는 성도들아,분투와승리
360,402,행군 나팔 소리로,분투와승리
361,480,기도하는 이 시간,기도와간구
362,481,주여 복을 주시기를,기도와간구
363,479,내가 깊은 곳에서,기도와간구
364,482,내 기도하는 그 시간,기도와간구
365,484,마음속에 근심 있는 사람,기도와간구
366,485,어두운 내 눈 밝히사,기도와간구
367,,인내하게 하소서 우리를,기도와간구
368,486,주 예수여 은혜를,기도와간구
369,487,죄짐 맡은 우리 구주,기도와간구
370,455,주 안에 있는 나에게,인도와보호
371,419,구주여 광풍이 일어,인도와보호
372,420,그 누가 나의 괴롬 알며,인도와보호
373,503,고요한 바다로,인도와보호
374,423,나의 믿음 약할 때,인도와보호
375,421,나는 갈 길 모르니,인도와보호
376,422,나그네와 같은 내가,인도와보호
377,451,전능하신 주 하나님,인도와보호
378,430,내 선한 목자,인도와보호
379,429,내 갈길 멀고 밤은 깊은데,인도와보호
380,424,나의 생명 되신 주,인도와보호
381,425,나 캄캄한 밤 죄의 길에,인도와보호
382,432,너 근심 걱정 말아라,인도와보호
383,433,눈을 들어 산을 보니,인도와보호
384,434,나의 갈 길 다 가도록,인도와보호
385,435,못 박혀 죽으신,인도와보호
386,439,만세 반석 열린 곳에,인도와보호
387,440,멀리 멀리 갔더니,인도와보호
